state(1=HI,0=LO),samples,start_sample
1 4 500298
0 7 500302
1 10 500309
0 4 500319
1 3 500323
0 7 500326
1 4 500333
0 7 500337
1 10 500344
0 4 500354
1 3 500358
0 7 500361
1 4 500368
0 21 500372
1 3 500393
0 7 500396
1 139 500403
0 4 500542
1 14 500546
0 7 500560
1 3 500567
0 4 500570
1 3 500574
0 4 500577
1 7 500581
0 3 500588
1 4 500591
0 7 500595
1 3 500602
0 4 500605
1 3 500609
0 7 500612
1 4 500619
0 3 500623
1 4 500626
0 14 500630
1 3 500644
0 4 500647
1 3 500651
0 18 500654
1 3 500672
0 4 500675
1 3 500679
0 7 500682
1 3 500689
0 7 500692
1 11 500699
0 3 500710
1 4 500713
0 3 500717
1 4 500720
0 3 500724
1 4 500727
0 7 500731
1 7 500738
0 3 500745
1 4 500748
0 7 500752
1 10 500759
0 4 500769
1 7 500773
0 3 500780
1 4 500783
0 3 500787
1 4 500790
0 14 500794
1 7 500808
0 3 500815
1 4 500818
0 20 500822
1 4 500842
0 7 500846
1 3 500853
0 4 500856
1 3 500860
0 4 500863
1 3 500867
0 4 500870
1 10 500874
0 4 500884
1 3 500888
0 4 500891
1 7 500895
0 7 500902
1 10 500909
0 4 500919
1 3 500923
0 4 500926
1 3 500930
0 4 500933
1 3 500937
0 7 500940
1 7 500947
0 4 500954
1 3 500958
0 11 500961
1 3 500972
0 7 500975
1 7 500982
0 3 500989
1 4 500992
0 7 500996
1 3 501003
0 4 501006
1 10 501010
0 7 501020
1 4 501027
0 21 501031
1 3 501052
0 7 501055
1 4 501062
0 3 501066
1 4 501069
0 10 501073
1 7 501083
0 7 501090
1 4 501097
0 7 501101
1 3 501108
0 7 501111
1 7 501118
0 7 501125
1 3 501132
0 4 501135
1 3 501139
0 11 501142
1 7 501153
0 7 501160
1 3 501167
0 7 501170
1 4 501177
0 7 501181
1 7 501188
0 7 501195
1 3 501202
0 21 501205
1 4 501226
0 7 501230
1 3 501237
0 7 501240
1 4 501247
0 10 501251
1 7 501261
0 3 501268
1 4 501271
0 3 501275
1 4 501278
0 7 501282
1 14 501289
0 3 501303
1 4 501306
0 10 501310
1 4 501320
0 3 501324
1 11 501327
0 3 501338
1 4 501341
0 3 501345
1 4 501348
0 3 501352
1 4 501355
0 7 501359
1 7 501366
0 3 501373
1 4 501376
0 3 501380
1 7 501383
0 7 501390
1 11 501397
0 3 501408
1 4 501411
0 20 501415
1 4 501435
0 7 501439
1 3 501446
0 14 501449
1 4 501463
0 3 501467
1 4 501470
0 7 501474
1 3 501481
0 7 501484
1 11 501491
0 7 501502
1 3 501509
0 4 501512
1 3 501516
0 4 501519
1 7 501523
0 7 501530
1 3 501537
0 4 501540
1 3 501544
0 4 501547
1 3 501551
0 10 501554
1 7 501564
0 7 501571
1 4 501578
0 3 501582
1 4 501585
0 3 501589
1 4 501592
0 7 501596
1 3 501603
0 4 501606
1 3 501610
0 7 501613
1 4 501620
0 21 501624
1 3 501645
0 7 501648
1 4 501655
0 3 501659
1 14 501662
0 4 501676
1 3 501680
0 7 501683
1 4 501690
0 20 501694
1 4 501714
0 7 501718
1 3 501725
0 4 501728
1 3 501732
0 11 501735
1 7 501746
0 7 501753
1 3 501760
0 7 501763
1 4 501770
0 7 501774
1 7 501781
0 7 501788
1 3 501795
0 4 501798
1 3 501802
0 11 501805
1 7 501816
0 7 501823
1 3 501830
0 7 501833
1 4 501840
0 7 501844
1 6 501851
0 7 501857
1 4 501864
0 21 501868
1 3 501889
0 7 501892
1 4 501899
0 7 501903
1 3 501910
0 11 501913
1 7 501924
0 3 501931
1 4 501934
0 3 501938
1 4 501941
0 7 501945
1 14 501952
0 3 501966
1 4 501969
0 10 501973
1 4 501983
0 3 501987
1 10 501990
0 4 502000
1 3 502004
0 4 502007
1 3 502011
0 4 502014
1 3 502018
0 7 502021
1 7 502028
0 4 502035
1 3 502039
0 4 502042
1 7 502046
0 7 502053
1 10 502060
0 4 502070
1 3 502074
0 21 502077
1 4 502098
0 7 502102
1 3 502109
0 14 502112
1 4 502126
0 3 502130
1 4 502133
0 7 502137
1 3 502144
0 3 502147
1 4 502150
0 3 502154
1 4 502157
0 3 502161
1 4 502164
0 3 502168
1 4 502171
0 3 502175
1 4 502178
0 7 502182
1 10 502189
0 7 502199
1 4 502206
0 3 502210
1 4 502213
0 3 502217
1 7 502220
0 7 502227
1 4 502234
0 3 502238
1 4 502241
0 3 502245
1 4 502248
0 3 502252
1 11 502255
0 3 502266
1 4 502269
0 3 502273
1 4 502276
0 3 502280
1 4 502283
0 3 502287
1 3 502290
0 7 502293
1 4 502300
0 3 502304
1 4 502307
0 7 502311
1 3 502318
0 7 502321
1 4 502328
0 3 502332
1 4 502335
0 14 502339
1 3 502353
0 7 502356
1 4 502363
0 7 502367
1 3 502374
0 4 502377
1 3 502381
0 4 502384
1 3 502388
0 4 502391
1 3 502395
0 4 502398
1 3 502402
0 4 502405
1 10 502409
0 4 502419
1 3 502423
0 7 502426
1 10 502433
0 4 502443
1 7 502447
0 3 502454
1 4 502457
0 7 502461
1 10 502468
0 4 502478
1 7 502482
0 3 502489
1 4 502492
0 3 502496
1 4 502499
0 7 502503
1 3 502510
0 4 502513
1 7 502517
0 3 502524
1 4 502527
0 7 502531
1 10 502538
0 4 502548
1 7 502552
0 3 502559
1 4 502562
0 3 502566
1 11 502569
0 6 502580
1 7 502586
0 4 502593
1 3 502597
0 21 502600
1 4 502621
0 7 502625
1 3 502632
0 11 502635
1 3 502646
0 7 502649
1 7 502656
0 4 502663
1 3 502667
0 4 502670
1 3 502674
0 4 502677
1 3 502681
0 7 502684
1 7 502691
0 4 502698
1 3 502702
0 7 502705
1 7 502712
0 7 502719
1 7 502726
0 3 502733
1 4 502736
0 3 502740
1 4 502743
0 3 502747
1 4 502750
0 7 502754
1 7 502761
0 3 502768
1 4 502771
0 7 502775
1 10 502782
0 4 502792
1 7 502796
0 3 502803
1 4 502806
0 3 502810
1 7 502813
0 7 502820
1 11 502827
0 3 502838
1 4 502841
0 3 502845
1 4 502848
0 3 502852
1 4 502855
0 7 502859
1 7 502866
0 3 502873
1 3 502876
0 21 502879
1 4 502900
0 7 502904
1 3 502911
0 18 502914
1 10 502932
0 4 502942
1 3 502946
0 4 502949
1 3 502953
0 7 502956
1 4 502963
0 3 502967
1 7 502970
0 4 502977
1 3 502981
0 18 502984
1 10 503002
0 4 503012
1 3 503016
0 3 503019
1 4 503022
0 3 503026
1 4 503029
0 7 503033
1 7 503040
0 3 503047
1 4 503050
0 10 503054
1 7 503064
0 4 503071
1 7 503075
0 3 503082
1 4 503085
0 3 503089
1 4 503092
0 7 503096
1 3 503103
0 4 503106
1 7 503110
0 3 503117
1 4 503120
0 7 503124
1 10 503131
0 4 503141
1 7 503145
0 3 503152
1 4 503155
0 3 503159
1 4 503162
0 3 503166
1 3 503169
0 7 503172
1 7 503179
0 4 503186
1 3 503190
0 21 503193
1 4 503214
0 7 503218
1 3 503225
0 11 503228
1 3 503239
0 4 503242
1 10 503246
0 4 503256
1 3 503260
0 7 503263
1 4 503270
0 7 503274
1 10 503281
0 4 503291
1 3 503295
0 4 503298
1 3 503302
0 14 503305
1 7 503319
0 3 503326
1 4 503329
0 3 503333
1 7 503336
0 11 503343
1 7 503354
0 3 503361
1 4 503364
0 3 503368
1 4 503371
0 3 503375
1 4 503378
0 7 503382
1 7 503389
0 3 503396
1 4 503399
0 21 503403
1 3 503424
0 7 503427
1 4 503434
0 14 503438
1 13 503452
0 4 503465
1 3 503469
0 4 503472
1 3 503476
0 4 503479
1 3 503483
0 4 503486
1 7 503490
0 7 503497
1 3 503504
0 18 503507
1 7 503525
0 7 503532
1 3 503539
0 21 503542
1 4 503563
0 7 503567
1 3 503574
0 7 503577
1 7 503584
0 7 503591
1 7 503598
0 3 503605
1 4 503608
0 7 503612
1 3 503619
0 7 503622
1 11 503629
0 3 503640
1 4 503643
0 3 503647
1 4 503650
0 14 503654
1 7 503668
0 3 503675
1 4 503678
0 3 503682
1 4 503685
0 3 503689
1 7 503692
0 4 503699
1 7 503703
0 3 503710
1 4 503713
0 3 503717
1 4 503720
0 3 503724
1 4 503727
0 7 503731
1 7 503738
0 3 503745
1 3 503748
0 4 503751
1 7 503755
0 7 503762
1 10 503769
0 4 503779
1 3 503783
0 7 503786
1 11 503793
0 3 503804
1 4 503807
0 7 503811
1 3 503818
0 7 503821
1 11 503828
0 3 503839
1 4 503842
0 7 503846
1 3 503853
0 7 503856
1 11 503863
